study_id,series_id,series_description,x_scale,y_scale,mean,std
4003253,702807833,Sagittal T2/STIR,2.857142857142857,2.857142857142857,65.79192442602042,96.22108856656068
4003253,1054713880,Sagittal T1,1.7142857142857142,1.7142857142857142,71.92972337372449,107.21252406333933
4003253,2448190387,Axial T2,1.4285714285714286,1.4285714285714286,82.16719982869601,107.6322767099493
4646740,3201256954,Axial T2,1.7142857142857142,1.7142857142857142,212.7978618964947,171.56284959486484
4646740,3486248476,Sagittal T1,2.4107142857142856,1.7142857142857142,321.67343538978093,260.1311413335091
4646740,3666319702,Sagittal T2/STIR,2.4107142857142856,1.7142857142857142,68.06876031662665,87.44027223904037
7143189,132939515,Sagittal T2/STIR,1.4285714285714286,1.4285714285714286,16.80305794192677,17.756049839071377
7143189,1951927562,Axial T2,1.7142857142857142,1.7142857142857142,121.19364272543257,145.2898817534821
7143189,3219733239,Sagittal T1,1.7142857142857142,1.7142857142857142,120.05294305222088,165.0219328241275
8785691,481125819,Sagittal T2/STIR,1.4285714285714286,1.4285714285714286,23.786147427721087,34.312225798539345
8785691,1570286759,Sagittal T1,1.7142857142857142,1.7142857142857142,129.62047326743198,189.62084740762882
8785691,2406919186,Axial T2,1.7142857142857142,1.7142857142857142,156.55931217353012,188.01190046078747
10728036,142859125,Axial T2,2.2857142857142856,2.2857142857142856,139.86386751966413,87.4844713728635
10728036,2073726394,Axial T2,2.2857142857142856,2.2857142857142856,136.87005523167147,85.91157664714287
10728036,2399638375,Sagittal T1,2.2857142857142856,2.2857142857142856,146.88606421186896,109.23932992890718
10728036,3491739931,Sagittal T2/STIR,2.2857142857142856,2.2857142857142856,113.98491835056392,80.60461047252974
11340341,1224932122,Axial T2,1.4285714285714286,1.4285714285714286,251.29842554209185,272.55060858036916
11340341,2231042680,Sagittal T1,2.2857142857142856,2.2857142857142856,117.47357855902777,219.05709706781298
11340341,3543553307,Sagittal T2/STIR,2.0,2.0,79.87816663123583,83.68627433235122
11943292,403244853,Axial T2,1.4285714285714286,1.4285714285714286,55.050199013757286,65.12008457796074
11943292,1212326388,Sagittal T1,1.7142857142857142,1.7142857142857142,56.5382174744898,75.23420900214239
11943292,1638921810,Sagittal T2/STIR,2.857142857142857,2.857142857142857,48.065088222789115,64.71069570257043
11943292,3800798510,Axial T2,1.4285714285714286,1.4285714285714286,70.5841585766251,92.32902330438532
13317052,1539051863,Sagittal T1,1.7142857142857142,1.7142857142857142,116.7234675120048,148.15621026351138
13317052,2500166693,Axial T2,2.857142857142857,2.857142857142857,110.49989739819539,140.41125763484354
13317052,2677627096,Sagittal T2/STIR,1.4285714285714286,1.4285714285714286,31.45827393457383,48.26937621681354
22191399,434280813,Sagittal T1,2.2857142857142856,2.2857142857142856,127.65592669359411,191.39866892628103
22191399,3687121182,Axial T2,1.4285714285714286,1.4285714285714286,219.05714265097203,208.5179235949863
22191399,3753885158,Sagittal T2/STIR,2.1875,2.0,68.3828125,74.8198598166659
26342422,226564374,Sagittal T1,1.7142857142857142,1.7142857142857142,147.15316321841237,221.9791099939918
26342422,307069509,Axial T2,1.4285714285714286,1.4285714285714286,259.8032350127551,350.7389897991096
26342422,1679014482,Axial T2,1.4285714285714286,1.4285714285714286,281.94069453302154,398.3749924555674
26342422,2528347280,Sagittal T2/STIR,1.7142857142857142,1.7142857142857142,152.40139766844237,191.69810016954423
29931867,231278500,Axial T2,1.7142857142857142,1.7142857142857142,122.61714365433673,144.11831921893614
29931867,1152175603,Sagittal T1,1.4285714285714286,1.4285714285714286,105.64498010481367,125.7262311184747
29931867,1676821058,Sagittal T2/STIR,1.7142857142857142,1.7142857142857142,97.7547502356921,122.51905564959294
29931867,2261718442,Axial T2,1.4285714285714286,1.4285714285714286,106.17088980123299,135.26931783015215
33736057,758801267,Sagittal T1,2.2857142857142856,2.2857142857142856,134.8944183142007,196.8028536922059
33736057,1379151387,Sagittal T2/STIR,1.4285714285714286,1.4285714285714286,30.153261851615646,41.860547277639554
33736057,1847558962,Axial T2,1.7142857142857142,1.7142857142857142,208.91453175730518,235.88875344288488
38281420,880361156,Sagittal T2/STIR,1.4285714285714286,1.4285714285714286,28.15893701230492,38.64145967091511
38281420,1178941473,Axial T2,1.7142857142857142,1.7142857142857142,224.4657978110599,255.1978301866361
38281420,2565838687,Sagittal T1,2.2857142857142856,2.2857142857142856,173.2919265362395,237.6199690928746
40745534,1395478236,Axial T2,1.4285714285714286,1.4285714285714286,291.7963596211511,268.2950720405229
40745534,2948359731,Sagittal T1,2.2857142857142856,2.2857142857142856,158.29245500283446,238.3775006992746
40745534,3918681171,Sagittal T2/STIR,2.0,2.0,76.48367966978458,75.31148063932415
41477684,2595734107,Sagittal T2/STIR,2.2857142857142856,2.2857142857142856,66.81712815334467,50.188031351166785
41477684,3009399271,Sagittal T1,2.2857142857142856,2.2857142857142856,107.16264858808107,77.497031868099
41477684,3749739759,Axial T2,2.2857142857142856,2.2857142857142856,81.38283095356198,59.80489290121663
44060036,1034241723,Sagittal T1,4.446428571428571,3.4285714285714284,281.2123578337585,193.0434583172408
44060036,2320605986,Axial T2,2.857142857142857,2.857142857142857,51.61311383928572,45.211641126064904
44060036,3055212151,Axial T2,2.4642857142857144,2.857142857142857,44.40998632183136,40.07656144310196
44060036,3294158542,Sagittal T2/STIR,4.446428571428571,3.4285714285714284,156.0885908269558,117.77053693626408
46494080,1543341132,Axial T2,2.2857142857142856,2.2857142857142856,149.4008915284864,89.01115639633367
46494080,1763376930,Sagittal T2/STIR,2.2857142857142856,2.2857142857142856,112.29277875212586,98.1301536648726
46494080,4061588226,Sagittal T1,2.2857142857142856,2.2857142857142856,155.90947199192178,140.22259040655285
52397721,2452297573,Sagittal T2/STIR,2.0,2.0,58.20475814023526,45.891567500972755
52397721,2770638094,Sagittal T1,2.2857142857142856,2.2857142857142856,129.55291817247732,192.54152030688954
52397721,3220885418,Axial T2,2.857142857142857,2.857142857142857,119.71465187637556,122.5032281876684
52695609,32135551,Sagittal T2/STIR,1.7142857142857142,1.7142857142857142,191.98265054377015,280.67245177257047
52695609,3284178089,Sagittal T1,1.4285714285714286,1.4285714285714286,284.84909749261544,416.8069379237132
52695609,3778925627,Axial T2,1.1428571428571428,1.1428571428571428,296.2928172831633,355.3512842281559
52695609,3993996421,Axial T2,2.2857142857142856,2.2857142857142856,317.13812340561225,375.19071875357645
53418228,345993377,Sagittal T1,1.4285714285714286,1.4285714285714286,1425.8753786670918,1801.1728538811622
53418228,1921001089,Axial T2,1.2142857142857142,1.2142857142857142,1938.6640298371954,1844.9114946640054
53418228,2698575616,Sagittal T2/STIR,3.4285714285714284,3.4285714285714284,1868.9705064838436,1996.7014857868883
58813022,302608236,Axial T2,1.2857142857142858,1.2857142857142858,182.53263807693216,130.0304483030815
58813022,692718517,Sagittal T1,1.4285714285714286,1.4285714285714286,150.8129994917889,150.66296600274825
58813022,3875372861,Sagittal T2/STIR,1.0,1.0,287.0418701171875,315.22992543458076
59576878,1757508642,Sagittal T2/STIR,4.107142857142857,3.4285714285714284,182.98572358630952,128.21822888634014
59576878,1786504756,Sagittal T1,4.107142857142857,3.4285714285714284,243.25487085459184,152.8301011538503
59576878,2414228193,Axial T2,2.857142857142857,2.857142857142857,51.712126647534014,46.66997411860074
60612428,661972121,Sagittal T1,1.7142857142857142,1.7142857142857142,105.25667384141157,130.16380979924367
60612428,2349970136,Sagittal T2/STIR,1.4285714285714286,1.4285714285714286,33.94215428358844,49.951309633402566
60612428,3446457669,Axial T2,2.857142857142857,2.857142857142857,121.06569977128783,138.63658065571335
63725508,1069611138,Axial T2,1.4285714285714286,1.4285714285714286,198.36318083423274,215.40425864571884
63725508,1389849895,Axial T2,1.4285714285714286,1.4285714285714286,147.16012914540818,158.9768622999296
63725508,1547488253,Sagittal T1,3.392857142857143,2.857142857142857,225.53664339619777,267.54783823474884
63725508,2144061947,Sagittal T2/STIR,2.0357142857142856,1.7142857142857142,192.76344220724005,233.14029767323171
64092030,1233796867,Sagittal T2/STIR,2.2857142857142856,2.2857142857142856,121.78875785805394,101.9241968923615
64092030,1924652166,Axial T2,2.2857142857142856,2.2857142857142856,177.8787042942177,105.06790349611337
64092030,3762658078,Sagittal T1,2.2857142857142856,2.2857142857142856,186.7459955243258,164.0815601053335
69086098,475539618,Axial T2,2.857142857142857,2.857142857142857,153.77932944328646,158.83552885191887
69086098,1872368754,Sagittal T2/STIR,2.0,2.0,64.56241695897108,66.61965969519586
69086098,2449982462,Sagittal T1,2.2857142857142856,2.2857142857142856,89.23483227926587,150.0239943057454
70878995,2807935482,Sagittal T1,2.2857142857142856,2.2857142857142856,211.8049107142857,220.885770437705
70878995,3022642562,Sagittal T2/STIR,2.857142857142857,2.857142857142857,170.79163212159864,185.956750941704
70878995,3493432031,Axial T2,2.0,2.0,193.00194066884566,190.9709620057485
71973234,1433976441,Sagittal T1,1.1428571428571428,1.1428571428571428,137.9975380777311,163.99644969963379
71973234,1858127754,Axial T2,1.4285714285714286,1.4285714285714286,161.98647517495175,152.3263147143239
71973234,2627968392,Sagittal T2/STIR,2.0,2.0,146.87578429809423,171.7871923803786
73783367,1885677897,Axial T2,2.2857142857142856,2.2857142857142856,273.56677744339925,287.8232478079411
73783367,2087785373,Sagittal T1,2.2857142857142856,2.2857142857142856,327.9304691928855,402.1269536332201
73783367,2639788488,Sagittal T2/STIR,2.2857142857142856,2.2857142857142856,72.20768450609411,57.98270354241948
74294498,507422603,Sagittal T2/STIR,2.0,2.0,65.4523599153203,68.42726816936374
74294498,3485741709,Sagittal T1,2.2857142857142856,2.2857142857142856,135.02109131412982,227.88635372977396
74294498,3742439825,Axial T2,1.4285714285714286,1.4285714285714286,216.43918061484797,213.1215210932467
74782131,2676982925,Sagittal T2/STIR,3.732142857142857,3.142857142857143,125.32427680651065,196.44419212523732
